"species","scientific_name","Total Approaches","Disturbed Approaches","Disturbed No Sentinel Approaches","Total Count","Disturbed Count","Disturbed No Sentinel Count"
"Australian Pelican","Pelecanus conspicillatus",31,5,3,30,22,17
"Australian White Ibis","Threskiornis molucca",8,2,0,32,16,0
"Bar-tailed Godwit","Limosa lapponica",139,28,9,10924,8317,2238
"Black Swan","Cygnus atratus",52,3,0,394,118,0
"Caspian Tern","Hydroprogne caspia",67,10,2,79,51,8
"Cattle Egret","Bubulcus ibis",1,1,0,1,1,0
"Curlew Sandpiper","Calidris ferruginea",1,1,1,7,7,7
"Eastern Curlew","Numenius madagascariensis",152,24,24,2505,2421,2421
"Great Egret","Ardea alba",1,0,0,1,0,0
"Great Knot","Calidris tenuirostris",30,9,1,529,472,62
"Grey-tailed Tattler","Tringa brevipes",4,2,1,79,79,69
"Gull-billed Tern","Gelochelidon nilotica",77,14,4,741,369,83
"Intermediate Egret","Ardea intermedia",1,1,0,1,1,0
"Little Egret","Egretta garzetta",6,4,0,29,27,0
"Marsh Sandpiper","Tringa stagnatilis",1,1,1,13,13,13
"Masked Lapwing","Vanellus miles",17,3,3,22,5,5
"Pied Oystercatcher","Haematopus longirostris",88,9,2,109,57,5
"Pied Stilt","Himantopus leucocephalus",93,14,7,1134,826,184
"Royal Spoonbill","Platalea regia",13,3,2,120,81,61
"Silver Gull","Chroicocephalus novaehollandiae",5,3,0,4,3,0
"Terek Sandpiper","Xenus cinereus",3,2,0,11,11,0
"Whimbrel","Numenius phaeopus",42,8,3,776,471,244
"White-faced Heron","Egretta novaehollandiae",2,1,1,11,11,11
