"species","scientific_name","Approaches"
"Australian Pelican","pelecanus conspicillatus",31
"Australian White Ibis","threskiornis molucca",8
"Bar-tailed Godwit","limosa lapponica",139
"Black Swan","cygnus atratus",52
"Caspian Tern","hydroprogne caspia",66
"Cattle Egret","bubulcus ibis",1
"Curlew Sandpiper","calidris ferruginea",1
"Eastern Curlew","numenius madagascariensis",152
"Great Egret","ardea alba",1
"Great Knot","calidris tenuirostris",30
"Grey-tailed Tattler","tringa brevipes",4
"Gull-billed Tern","gelochelidon nilotica",77
"Intermediate Egret","ardea intermedia",1
"Little Egret","egretta garzetta",6
"Marsh Sandpiper","tringa stagnatilis",1
"Masked Lapwing","vanellus miles",17
"Pied Oystercatcher","haematopus longirostris",88
"Pied Stilt","himantopus leucocephalus",92
"Royal Spoonbill","platalea regia",13
"Silver Gull","chroicocephalus novaehollandiae",5
"Terek Sandpiper","xenus cinereus",3
"Whimbrel","numenius phaeopus",42
"White-faced Heron","egretta novaehollandiae",2
